"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","HTTP","",""
"pre_128cipher","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","No 128 cipher limit bug","",""
"SSLv2","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","not offered","",""
"SSLv3","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","not offered","",""
"TLS1","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_1","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_2","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","offered","",""
"TLS1_3","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","offered with final","",""
"ALPN_HTTP2","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","h2","",""
"ALPN","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","http/1.1","",""
"cipherlist_NULL","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_LOW","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"cipherlist_STRONG_FS","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","offered","",""
"cipher_order-tls1_2","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","server","",""
"cipherorder_TLSv1_2","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","server","",""
"FS","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","offered","",""
"FS_ciphers","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","yes","",""
"sessionresumption_ticket","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","not supported","",""
"sessionresumption_ID","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","not supported","",""
"TLS_timestamp","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","random","",""
"certificate_compression","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","none","",""
"clientAuth","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","none","",""
"cert_numbers","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","1","",""
"cert_signatureAlgorithm","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","OK","SHA256 with RSA","",""
"cert_keySize","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","05D61519D1A802DB311B325EFEB4D2E7AEAE","",""
"cert_serialNumberLen","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","18","",""
"cert_fingerprintSHA1","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","C6238D248386ADBE0C9D31BD11B4B4F33196A661","",""
"cert_fingerprintSHA256","monsuivisocial.incubateur.anct.gouv.fr/80.247.12.255","443","INFO","0885C77D76BA1DA78AA63BAE0A0126921321168A95726FBB9566BA7D2F1BFCB1","",""
