"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","HTTP","",""
"pre_128cipher","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lesbases.anct.gouv.fr/51.159.112.42","443","OK","not offered","",""
"SSLv3","lesbases.anct.gouv.fr/51.159.112.42","443","OK","not offered","",""
"TLS1","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","not offered","",""
"TLS1_1","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","not offered","",""
"TLS1_2","lesbases.anct.gouv.fr/51.159.112.42","443","OK","offered","",""
"TLS1_3","lesbases.anct.gouv.fr/51.159.112.42","443","OK","offered with final","",""
"ALPN_HTTP2","lesbases.anct.gouv.fr/51.159.112.42","443","OK","h2","",""
"ALPN","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","http/1.1","",""
"cipherlist_NULL","lesbases.anct.gouv.fr/51.159.112.42","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lesbases.anct.gouv.fr/51.159.112.42","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lesbases.anct.gouv.fr/51.159.112.42","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lesbases.anct.gouv.fr/51.159.112.42","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","not offered","",""
"cipherlist_STRONG_FS","lesbases.anct.gouv.fr/51.159.112.42","443","OK","offered","",""
"cipher_order-tls1_2","lesbases.anct.gouv.fr/51.159.112.42","443","OK","server","",""
"cipherorder_TLSv1_2","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","lesbases.anct.gouv.fr/51.159.112.42","443","OK","server -- TLS 1.3 client determined","",""
"FS","lesbases.anct.gouv.fr/51.159.112.42","443","OK","offered","",""
"FS_ciphers","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","lesbases.anct.gouv.fr/51.159.112.42","443","OK","prime256v1","",""
"TLS_extensions","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","yes","",""
"sessionresumption_ticket","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","not supported","",""
"sessionresumption_ID","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","not supported","",""
"TLS_timestamp","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","random","",""
"certificate_compression","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","none","",""
"clientAuth","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","none","",""
"cert_numbers","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","1","",""
"cert_signatureAlgorithm","lesbases.anct.gouv.fr/51.159.112.42","443","OK","SHA256 with RSA","",""
"cert_keySize","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","06491EE69E807035A06FA0053BF54E288B58","",""
"cert_serialNumberLen","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","18","",""
"cert_fingerprintSHA1","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","47BFAED547B97FE95CCBF38FE8994188D112EF57","",""
"cert_fingerprintSHA256","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","943BCA03382FDD3B258C42A989B9118C9B36F550A195D37F66288A7FD97010DB","",""
